Grupo,Equipo,Puntos,Partidos Jugados,Victorias,Empates,Derrotas,Goles a Favor,Goles en Contra,Diferencia de Goles
Grupo X,Argentina,3,1,1,0,0,3,2,1
Grupo X,Peru,0,0,0,0,0,0,0,0
Grupo X,Chile,0,0,0,0,0,0,0,0
Grupo X,Ecuador,0,0,0,0,0,0,0,0
Grupo X,Venezuela,0,0,0,0,0,0,0,0
Grupo X,Mexico,0,0,0,0,0,0,0,0
Grupo X,Jamaica,0,0,0,0,0,0,0,0
Grupo X,United States,0,0,0,0,0,0,0,0
Grupo X,Bolivia,0,0,0,0,0,0,0,0
Grupo X,Uruguay,0,0,0,0,0,0,0,0
Grupo X,Panama,0,0,0,0,0,0,0,0
Grupo X,Colombia,0,0,0,0,0,0,0,0
Grupo X,Paraguay,0,0,0,0,0,0,0,0
Grupo X,Brazil,0,0,0,0,0,0,0,0
Grupo X,CONCACAF 6,0,0,0,0,0,0,0,0
Grupo X,1A,0,0,0,0,0,0,0,0
Grupo X,2B,0,0,0,0,0,0,0,0
Grupo X,1B,0,0,0,0,0,0,0,0
Grupo X,2A,0,0,0,0,0,0,0,0
Grupo X,1D,0,0,0,0,0,0,0,0
Grupo X,2C,0,0,0,0,0,0,0,0
Grupo X,1C,0,0,0,0,0,0,0,0
Grupo X,2D,0,0,0,0,0,0,0,0
Grupo X,To be announced,0,0,0,0,0,0,0,0
Grupo X,CONCACAF 5,0,1,0,0,1,2,3,-1
